1 0.376882
5 0.496593
9 0.671759
13 0.827073
17 0.989567
21 1.17856
25 1.40717
29 1.5763
33 1.71233
37 1.87004
41 1.98257
45 2.219
49 2.37022
53 2.5251
57 2.67667
61 2.81678
65 2.94794
69 3.13945
73 3.32171
77 3.52846
81 3.62977
85 3.81398
89 3.95722
93 4.20724
97 4.27145
101 4.46067
105 4.67159
109 4.82098
113 5.01203
117 5.14967
121 5.27504
125 5.49025
129 5.65087
133 5.8141
137 5.93988
141 6.12843
145 6.31794
149 6.4935
153 6.60379
157 6.83809
161 6.99021
165 7.18207
169 7.35033
173 7.50148
177 7.64613
181 7.83109
185 8.01251
189 8.12786
193 8.32185
197 8.45147
201 8.66068
205 8.74548
209 8.99069
213 9.11675
217 9.25762
221 9.42669
225 9.6252
229 9.7524
233 9.8933
237 10.1134
241 10.2755
245 10.4353
249 10.5442
